ticket_id,created_date,resolved_date,department,ticket_type,priority,assigned_agent,resolution_hours,sla_target_hours,met_sla
TKT-10031,2025-07-02 08:00:00,2025-07-02 08:41:31.316382,Engineering,Password Reset,High,A. Palishchuk,0.69,2,True
TKT-10032,2026-02-18 10:00:00,2026-02-18 13:52:49.415131,Marketing,SSO Login Failure,Medium,M. Singh,3.88,8,True
TKT-10033,2025-10-24 08:00:00,2025-10-24 08:16:47.093463,Engineering,Password Reset,High,J. Nguyen,0.28,2,True
TKT-10034,2025-10-07 16:00:00,2025-10-07 16:31:01.932960,Marketing,Password Reset,Low,J. Nguyen,0.52,24,True
TKT-10035,2025-12-16 11:00:00,2025-12-16 12:01:24.422747,HR,SSO Login Failure,Low,J. Nguyen,1.02,24,True
TKT-10036,2025-11-12 10:00:00,2025-11-12 10:06:00.000000,Engineering,Account Lockout,Medium,R. Costa,0.1,8,True
TKT-10037,2025-07-22 13:00:00,2025-07-22 22:13:31.788234,Engineering,Group Membership,Low,M. Singh,9.23,24,True
TKT-10038,2026-04-12 08:00:00,2026-04-12 08:12:42.424283,Operations,Account Lockout,Low,R. Costa,0.21,24,True
TKT-10039,2025-07-04 10:00:00,2025-07-04 23:33:06.504614,Marketing,SSO Login Failure,Low,T. O'Brien,13.55,24,True
TKT-10040,2025-07-06 10:00:00,2025-07-06 10:28:54.903584,Marketing,SSO Login Failure,High,T. O'Brien,0.48,2,True
TKT-10041,2025-10-07 08:00:00,2025-10-07 08:08:15.720562,Finance,Password Reset,Low,J. Nguyen,0.14,24,True
TKT-10042,2025-11-05 09:00:00,2025-11-05 13:17:13.099747,Marketing,Access Request,High,A. Palishchuk,4.29,2,False
TKT-10043,2026-04-14 13:00:00,2026-04-14 13:40:56.787598,Sales,MFA Issue,Low,M. Singh,0.68,24,True
TKT-10044,2026-04-25 13:00:00,2026-04-25 16:13:54.769041,Engineering,MFA Issue,Low,A. Palishchuk,3.23,24,True
TKT-10045,2025-07-13 17:00:00,2025-07-13 17:06:28.820677,Marketing,Password Reset,Medium,M. Singh,0.11,8,True
TKT-10046,2025-11-20 09:00:00,2025-11-20 09:06:00.000000,Finance,Password Reset,Medium,A. Palishchuk,0.1,8,True
TKT-10047,2026-01-06 13:00:00,2026-01-06 13:06:00.000000,Marketing,Account Lockout,Low,J. Nguyen,0.1,24,True
TKT-10048,2025-10-09 08:00:00,2025-10-10 05:50:15.304126,Legal,Device Enrollment,Low,A. Palishchuk,21.84,24,True
TKT-10049,2026-06-30 11:00:00,2026-06-30 11:53:36.449784,Operations,Access Request,Medium,T. O'Brien,0.89,8,True
TKT-10050,2025-10-14 10:00:00,2025-10-14 13:45:24.812292,Legal,Device Enrollment,Low,A. Palishchuk,3.76,24,True
TKT-10051,2025-10-25 14:00:00,2025-10-25 14:21:35.039684,Sales,Access Request,Medium,A. Palishchuk,0.36,8,True
TKT-10052,2026-04-16 13:00:00,2026-04-16 13:39:24.568282,Operations,SSO Login Failure,Medium,M. Singh,0.66,8,True
TKT-10053,2025-09-07 13:00:00,2025-09-07 15:10:13.695119,Engineering,SSO Login Failure,Low,M. Singh,2.17,24,True
TKT-10054,2026-01-01 12:00:00,2026-01-01 14:31:37.555232,Operations,Password Reset,Low,R. Costa,2.53,24,True
TKT-10055,2026-02-03 17:00:00,2026-02-03 18:29:00.667535,Marketing,Access Request,Low,M. Singh,1.48,24,True
TKT-10056,2026-03-07 17:00:00,2026-03-07 17:43:31.987963,Sales,Permission Change,High,R. Costa,0.73,2,True
TKT-10057,2025-10-04 08:00:00,2025-10-04 13:44:25.264509,Legal,Access Request,Medium,T. O'Brien,5.74,8,True
TKT-10058,2025-12-07 11:00:00,2025-12-07 12:00:18.203324,Finance,Account Lockout,Low,M. Singh,1.01,24,True
TKT-10059,2025-10-09 10:00:00,2025-10-09 11:09:27.613865,Operations,Device Enrollment,Medium,A. Palishchuk,1.16,8,True
TKT-10060,2025-10-03 09:00:00,2025-10-03 09:12:18.554650,Sales,Password Reset,Medium,J. Nguyen,0.21,8,True
TKT-10061,2025-09-28 09:00:00,2025-09-28 11:18:07.464211,Sales,MFA Issue,Low,R. Costa,2.3,24,True
TKT-10062,2026-02-02 12:00:00,2026-02-02 13:39:07.878999,Engineering,Group Membership,Medium,T. O'Brien,1.65,8,True
TKT-10063,2025-08-05 09:00:00,2025-08-05 12:01:38.729719,Operations,MFA Issue,Medium,A. Palishchuk,3.03,8,True
TKT-10064,2025-12-30 14:00:00,2025-12-30 20:03:14.251573,Marketing,SSO Login Failure,Low,R. Costa,6.05,24,True
TKT-10065,2026-02-02 13:00:00,2026-02-02 13:06:25.880794,Operations,MFA Issue,Low,T. O'Brien,0.11,24,True
TKT-10066,2025-09-14 16:00:00,2025-09-14 18:42:25.756510,Engineering,MFA Issue,High,R. Costa,2.71,2,False
TKT-10067,2025-11-21 12:00:00,2025-11-21 12:24:12.187344,Operations,Password Reset,Medium,M. Singh,0.4,8,True
TKT-10068,2025-11-28 16:00:00,2025-11-28 17:05:51.991169,Marketing,Password Reset,High,R. Costa,1.1,2,True
TKT-10069,2025-11-10 10:00:00,2025-11-10 10:38:50.751900,HR,Permission Change,Low,M. Singh,0.65,24,True
TKT-10070,2026-03-10 13:00:00,2026-03-10 13:06:00.000000,Sales,Password Reset,Medium,T. O'Brien,0.1,8,True
TKT-10071,2026-01-10 12:00:00,2026-01-10 18:47:26.828322,Operations,Access Request,Low,J. Nguyen,6.79,24,True
TKT-10072,2025-11-22 14:00:00,2025-11-22 15:24:57.826796,Legal,Group Membership,Medium,R. Costa,1.42,8,True
TKT-10073,2026-06-29 13:00:00,2026-06-29 14:02:31.998556,Marketing,SSO Login Failure,Low,R. Costa,1.04,24,True
TKT-10074,2025-11-18 09:00:00,2025-11-18 09:59:11.867166,Operations,Access Request,Low,T. O'Brien,0.99,24,True
TKT-10075,2025-07-01 10:00:00,2025-07-01 10:12:41.070456,Finance,Account Lockout,High,A. Palishchuk,0.21,2,True
TKT-10076,2025-10-25 13:00:00,2025-10-25 15:26:08.974301,Legal,Device Enrollment,High,T. O'Brien,2.44,2,False
TKT-10077,2026-01-29 12:00:00,2026-01-29 12:07:03.529735,Legal,MFA Issue,Medium,R. Costa,0.12,8,True
TKT-10078,2025-07-14 08:00:00,2025-07-14 09:44:08.428478,Finance,Account Lockout,Medium,T. O'Brien,1.74,8,True
TKT-10079,2026-05-26 15:00:00,2026-05-26 18:11:23.633582,Sales,Access Request,Low,A. Palishchuk,3.19,24,True
TKT-10080,2025-09-28 15:00:00,2025-09-28 15:07:16.980336,Finance,MFA Issue,Medium,A. Palishchuk,0.12,8,True
TKT-10081,2025-11-22 16:00:00,2025-11-22 17:43:53.379752,Operations,MFA Issue,Medium,A. Palishchuk,1.73,8,True
TKT-10082,2025-08-04 13:00:00,2025-08-04 16:48:05.817882,Sales,Permission Change,Medium,A. Palishchuk,3.8,8,True
TKT-10083,2026-04-12 09:00:00,2026-04-12 13:07:55.726066,Marketing,Access Request,Low,M. Singh,4.13,24,True
TKT-10084,2026-02-09 08:00:00,2026-02-09 08:44:55.729171,Engineering,MFA Issue,Medium,T. O'Brien,0.75,8,True
TKT-10085,2025-10-06 16:00:00,2025-10-06 16:27:09.397145,Marketing,Access Request,Low,M. Singh,0.45,24,True
TKT-10086,2026-01-13 12:00:00,2026-01-13 16:23:45.057374,Operations,Group Membership,Medium,M. Singh,4.4,8,True
TKT-10087,2025-09-21 08:00:00,2025-09-21 08:33:53.042382,Operations,MFA Issue,Low,R. Costa,0.56,24,True
TKT-10088,2026-04-14 09:00:00,2026-04-14 11:10:16.357810,Sales,MFA Issue,Low,R. Costa,2.17,24,True
TKT-10089,2026-03-16 09:00:00,2026-03-16 13:06:56.062458,Marketing,Device Enrollment,Medium,M. Singh,4.12,8,True
TKT-10090,2025-10-20 14:00:00,2025-10-20 16:26:07.190504,Engineering,SSO Login Failure,Medium,T. O'Brien,2.44,8,True
TKT-10091,2026-01-08 09:00:00,2026-01-08 09:44:49.102085,Engineering,MFA Issue,Medium,A. Palishchuk,0.75,8,True
TKT-10092,2026-05-04 16:00:00,2026-05-04 19:01:49.730836,Legal,Access Request,Medium,R. Costa,3.03,8,True
TKT-10093,2025-09-19 12:00:00,2025-09-19 23:59:50.292353,Finance,Device Enrollment,Low,A. Palishchuk,12.0,24,True
TKT-10094,2025-09-07 09:00:00,2025-09-07 09:13:43.525585,Engineering,Account Lockout,Low,A. Palishchuk,0.23,24,True
TKT-10095,2025-10-19 16:00:00,2025-10-19 19:04:04.653784,HR,Access Request,Medium,A. Palishchuk,3.07,8,True
TKT-10096,2025-12-31 16:00:00,2025-12-31 21:43:36.131646,Sales,Permission Change,Low,R. Costa,5.73,24,True
TKT-10097,2025-08-20 10:00:00,2025-08-20 12:46:34.768540,Marketing,Device Enrollment,Low,A. Palishchuk,2.78,24,True
TKT-10098,2025-07-01 12:00:00,2025-07-01 15:31:59.709724,Marketing,Access Request,Low,J. Nguyen,3.53,24,True
TKT-10099,2025-09-11 17:00:00,2025-09-11 17:25:35.317747,Marketing,Device Enrollment,Medium,A. Palishchuk,0.43,8,True
TKT-10100,2025-08-17 08:00:00,2025-08-17 10:04:08.529097,Operations,MFA Issue,Medium,T. O'Brien,2.07,8,True
TKT-10101,2026-04-29 15:00:00,2026-04-29 17:45:42.751361,Sales,Access Request,Medium,M. Singh,2.76,8,True
TKT-10102,2025-07-14 15:00:00,2025-07-14 15:55:49.310569,Engineering,Password Reset,Medium,R. Costa,0.93,8,True
TKT-10103,2026-03-31 17:00:00,2026-03-31 17:12:57.713429,Legal,MFA Issue,Low,J. Nguyen,0.22,24,True
TKT-10104,2026-01-18 14:00:00,2026-01-18 14:46:25.179596,HR,MFA Issue,Low,A. Palishchuk,0.77,24,True
TKT-10105,2025-07-13 11:00:00,2025-07-13 19:09:44.721878,Sales,Access Request,Low,A. Palishchuk,8.16,24,True
TKT-10106,2025-10-19 13:00:00,2025-10-19 13:25:25.593553,Engineering,Account Lockout,Medium,J. Nguyen,0.42,8,True
TKT-10107,2025-10-09 13:00:00,2025-10-09 14:07:14.608543,Engineering,Permission Change,Medium,T. O'Brien,1.12,8,True
TKT-10108,2026-02-14 16:00:00,2026-02-14 16:19:24.535814,Legal,MFA Issue,Low,R. Costa,0.32,24,True
TKT-10109,2026-06-15 15:00:00,2026-06-15 18:51:56.679194,Operations,Permission Change,Low,T. O'Brien,3.87,24,True
TKT-10110,2026-02-08 13:00:00,2026-02-08 20:13:20.923043,Marketing,Access Request,High,T. O'Brien,7.22,2,False
TKT-10111,2025-10-02 15:00:00,2025-10-02 17:32:05.791574,Engineering,SSO Login Failure,Medium,R. Costa,2.53,8,True
TKT-10112,2025-12-20 12:00:00,2025-12-20 12:21:36.698247,Finance,Password Reset,Low,M. Singh,0.36,24,True
TKT-10113,2025-11-17 08:00:00,2025-11-17 08:50:55.290270,Engineering,Account Lockout,Low,T. O'Brien,0.85,24,True
TKT-10114,2026-05-29 10:00:00,2026-05-29 10:06:00.000000,Legal,Password Reset,Low,R. Costa,0.1,24,True
TKT-10115,2025-07-13 15:00:00,2025-07-13 22:26:12.907614,Finance,Device Enrollment,Low,A. Palishchuk,7.44,24,True
TKT-10116,2025-08-07 14:00:00,2025-08-08 02:21:46.367485,HR,Device Enrollment,Low,T. O'Brien,12.36,24,True
TKT-10117,2026-05-30 12:00:00,2026-05-30 12:14:23.809098,Engineering,SSO Login Failure,High,T. O'Brien,0.24,2,True
TKT-10118,2026-05-16 13:00:00,2026-05-16 13:52:47.850928,Operations,Password Reset,Medium,A. Palishchuk,0.88,8,True
TKT-10119,2026-04-12 10:00:00,2026-04-12 10:32:49.584550,Sales,Password Reset,Medium,T. O'Brien,0.55,8,True
TKT-10120,2025-09-27 17:00:00,2025-09-27 20:28:10.737432,Marketing,Access Request,Medium,T. O'Brien,3.47,8,True
TKT-10121,2025-11-02 13:00:00,2025-11-02 19:43:11.856126,Finance,Access Request,Low,T. O'Brien,6.72,24,True
TKT-10122,2026-05-05 15:00:00,2026-05-05 15:50:49.938745,Engineering,MFA Issue,Medium,R. Costa,0.85,8,True
TKT-10123,2025-08-11 11:00:00,2025-08-11 14:48:43.449445,Legal,Device Enrollment,Medium,R. Costa,3.81,8,True
TKT-10124,2025-12-04 13:00:00,2025-12-04 16:00:55.134169,Finance,SSO Login Failure,Medium,A. Palishchuk,3.02,8,True
TKT-10125,2025-09-24 09:00:00,2025-09-24 09:30:08.674244,Marketing,SSO Login Failure,High,R. Costa,0.5,2,True
TKT-10126,2026-04-29 11:00:00,2026-04-29 15:11:11.062621,Operations,Access Request,Medium,R. Costa,4.19,8,True
TKT-10127,2026-05-20 09:00:00,2026-05-20 09:25:00.441382,Sales,Password Reset,Medium,A. Palishchuk,0.42,8,True
TKT-10128,2025-09-07 11:00:00,2025-09-07 11:15:45.657779,Legal,Password Reset,High,R. Costa,0.26,2,True
TKT-10129,2026-04-28 17:00:00,2026-04-28 17:42:32.429659,Legal,Account Lockout,Medium,M. Singh,0.71,8,True
TKT-10130,2025-12-18 11:00:00,2025-12-18 11:06:00.000000,Legal,Permission Change,Medium,A. Palishchuk,0.1,8,True
TKT-10131,2025-09-30 17:00:00,2025-09-30 17:06:00.000000,Finance,Password Reset,Low,T. O'Brien,0.1,24,True
TKT-10132,2026-03-14 12:00:00,2026-03-14 12:23:57.976365,Finance,Group Membership,Medium,J. Nguyen,0.4,8,True
TKT-10133,2025-08-24 10:00:00,2025-08-24 10:06:00.000000,Finance,Account Lockout,Low,A. Palishchuk,0.1,24,True
TKT-10134,2026-05-09 12:00:00,2026-05-09 12:31:18.892209,Sales,Account Lockout,Low,T. O'Brien,0.52,24,True
TKT-10135,2026-01-26 09:00:00,2026-01-26 09:08:00.934567,Engineering,Permission Change,Medium,A. Palishchuk,0.13,8,True
TKT-10136,2025-11-29 16:00:00,2025-11-30 11:12:49.260006,Finance,Access Request,Low,M. Singh,19.21,24,True
TKT-10137,2025-11-27 17:00:00,2025-11-27 17:06:00.000000,HR,Password Reset,Medium,J. Nguyen,0.1,8,True
TKT-10138,2025-11-25 13:00:00,2025-11-25 13:48:56.279943,Legal,Permission Change,Medium,R. Costa,0.82,8,True
TKT-10139,2025-11-18 14:00:00,2025-11-18 16:34:44.550094,Marketing,Access Request,Medium,A. Palishchuk,2.58,8,True
TKT-10140,2026-04-12 15:00:00,2026-04-12 16:13:14.416391,Sales,Account Lockout,Low,R. Costa,1.22,24,True
TKT-10141,2025-10-21 09:00:00,2025-10-21 09:39:07.461427,Operations,Access Request,Medium,A. Palishchuk,0.65,8,True
TKT-10142,2025-11-08 17:00:00,2025-11-08 17:47:17.643665,Legal,MFA Issue,Medium,T. O'Brien,0.79,8,True
TKT-10143,2026-04-14 09:00:00,2026-04-14 13:10:19.861544,Engineering,Permission Change,Low,A. Palishchuk,4.17,24,True
TKT-10144,2026-03-12 15:00:00,2026-03-12 15:06:00.000000,Finance,Password Reset,Medium,R. Costa,0.1,8,True
TKT-10145,2026-03-21 09:00:00,2026-03-21 11:46:22.616652,Marketing,Device Enrollment,High,T. O'Brien,2.77,2,False
TKT-10146,2025-12-12 13:00:00,2025-12-12 14:28:23.840791,Legal,Password Reset,Low,R. Costa,1.47,24,True
TKT-10147,2025-12-08 14:00:00,2025-12-09 03:35:30.836725,Operations,Device Enrollment,Low,J. Nguyen,13.59,24,True
TKT-10148,2025-07-02 08:00:00,2025-07-02 09:57:07.634300,Sales,Device Enrollment,Low,J. Nguyen,1.95,24,True
TKT-10149,2025-10-27 11:00:00,2025-10-27 11:46:58.766456,Sales,Account Lockout,Low,T. O'Brien,0.78,24,True
TKT-10150,2026-06-20 11:00:00,2026-06-20 11:21:50.114562,Marketing,Group Membership,Medium,R. Costa,0.36,8,True
TKT-10151,2026-01-31 08:00:00,2026-01-31 16:07:17.393560,Sales,Access Request,Medium,R. Costa,8.12,8,False
TKT-10152,2026-06-24 16:00:00,2026-06-24 18:04:49.123494,Sales,Password Reset,Medium,T. O'Brien,2.08,8,True
TKT-10153,2025-10-06 14:00:00,2025-10-06 15:30:30.981676,Sales,SSO Login Failure,Medium,R. Costa,1.51,8,True
TKT-10154,2025-08-03 08:00:00,2025-08-03 17:56:05.199573,Operations,Access Request,Low,A. Palishchuk,9.93,24,True
TKT-10155,2025-07-27 16:00:00,2025-07-27 16:25:58.746511,Operations,MFA Issue,Medium,M. Singh,0.43,8,True
TKT-10156,2025-12-20 08:00:00,2025-12-20 13:42:26.611468,Sales,Access Request,Low,A. Palishchuk,5.71,24,True
TKT-10157,2026-06-28 08:00:00,2026-06-28 08:08:26.700060,Operations,Password Reset,Medium,T. O'Brien,0.14,8,True
TKT-10158,2025-07-11 11:00:00,2025-07-11 13:10:21.623447,Sales,SSO Login Failure,Low,J. Nguyen,2.17,24,True
TKT-10159,2025-11-29 13:00:00,2025-11-29 13:12:16.138585,Legal,Password Reset,Low,A. Palishchuk,0.2,24,True
TKT-10160,2026-02-12 11:00:00,2026-02-12 11:35:25.723486,Sales,Password Reset,Low,R. Costa,0.59,24,True
TKT-10161,2025-09-11 16:00:00,2025-09-11 18:22:48.103615,Sales,MFA Issue,Low,J. Nguyen,2.38,24,True
TKT-10162,2026-04-17 10:00:00,2026-04-17 12:13:52.445713,Marketing,Password Reset,Low,R. Costa,2.23,24,True
TKT-10163,2026-04-01 12:00:00,2026-04-01 12:06:00.000000,Sales,Password Reset,High,M. Singh,0.1,2,True
TKT-10164,2026-04-29 15:00:00,2026-04-29 17:50:46.371071,Operations,SSO Login Failure,Medium,M. Singh,2.85,8,True
TKT-10165,2026-01-14 15:00:00,2026-01-14 15:29:15.092166,Sales,MFA Issue,Low,A. Palishchuk,0.49,24,True
TKT-10166,2025-07-26 17:00:00,2025-07-26 17:21:54.622198,Marketing,Account Lockout,High,T. O'Brien,0.37,2,True
TKT-10167,2026-03-27 12:00:00,2026-03-27 12:19:06.472263,Engineering,SSO Login Failure,Low,T. O'Brien,0.32,24,True
TKT-10168,2025-09-20 11:00:00,2025-09-20 22:28:34.982469,Finance,Device Enrollment,Low,M. Singh,11.48,24,True
TKT-10169,2025-11-29 10:00:00,2025-11-29 12:06:31.459097,Engineering,Account Lockout,Low,J. Nguyen,2.11,24,True
TKT-10170,2025-12-30 14:00:00,2025-12-30 14:30:14.491024,Operations,Password Reset,Low,M. Singh,0.5,24,True
TKT-10171,2026-01-26 08:00:00,2026-01-26 09:03:39.105259,Legal,Permission Change,Medium,R. Costa,1.06,8,True
TKT-10172,2025-08-03 14:00:00,2025-08-03 15:45:10.887712,Engineering,Password Reset,Low,T. O'Brien,1.75,24,True
TKT-10173,2025-07-29 08:00:00,2025-07-29 15:42:09.924046,HR,Access Request,Low,T. O'Brien,7.7,24,True
TKT-10174,2026-03-23 16:00:00,2026-03-23 17:58:36.028303,Finance,MFA Issue,Medium,A. Palishchuk,1.98,8,True
TKT-10175,2025-11-19 15:00:00,2025-11-19 15:31:07.749385,Finance,MFA Issue,Low,A. Palishchuk,0.52,24,True
TKT-10176,2025-09-11 08:00:00,2025-09-12 08:26:16.275077,Operations,Access Request,Low,M. Singh,24.44,24,False
TKT-10177,2026-01-14 14:00:00,2026-01-14 15:30:43.091508,Operations,Permission Change,High,T. O'Brien,1.51,2,True
TKT-10178,2026-01-15 11:00:00,2026-01-15 12:10:56.656124,Marketing,Password Reset,Low,R. Costa,1.18,24,True
TKT-10179,2026-05-26 09:00:00,2026-05-27 09:35:32.313963,Marketing,Access Request,Low,M. Singh,24.59,24,False
TKT-10180,2025-08-23 14:00:00,2025-08-24 02:40:19.630005,Operations,Permission Change,High,A. Palishchuk,12.67,2,False
TKT-10181,2025-12-25 09:00:00,2025-12-25 13:23:56.305708,Marketing,SSO Login Failure,Low,R. Costa,4.4,24,True
TKT-10182,2025-09-27 16:00:00,2025-09-27 17:28:02.859191,Engineering,Permission Change,High,A. Palishchuk,1.47,2,True
TKT-10183,2025-07-29 16:00:00,2025-07-29 16:06:00.000000,Legal,Password Reset,High,M. Singh,0.1,2,True
TKT-10184,2026-03-18 09:00:00,2026-03-18 11:20:45.689651,Operations,Access Request,Low,A. Palishchuk,2.35,24,True
TKT-10185,2025-08-06 12:00:00,2025-08-06 20:21:52.718872,Marketing,Group Membership,Low,R. Costa,8.36,24,True
TKT-10186,2026-01-02 10:00:00,2026-01-02 11:15:04.104042,Operations,MFA Issue,Medium,M. Singh,1.25,8,True
TKT-10187,2026-02-01 10:00:00,2026-02-01 10:53:24.723725,Finance,Permission Change,Low,J. Nguyen,0.89,24,True
TKT-10188,2025-08-14 16:00:00,2025-08-14 22:14:35.498649,HR,Permission Change,Low,A. Palishchuk,6.24,24,True
TKT-10189,2026-02-20 17:00:00,2026-02-20 17:06:00.000000,Engineering,Access Request,High,A. Palishchuk,0.1,2,True
TKT-10190,2025-08-08 09:00:00,2025-08-08 12:32:27.515496,Legal,Device Enrollment,Medium,A. Palishchuk,3.54,8,True
TKT-10191,2025-07-13 08:00:00,2025-07-13 11:41:13.974627,Operations,Access Request,Low,M. Singh,3.69,24,True
TKT-10192,2026-05-22 10:00:00,2026-05-22 16:35:35.673200,Legal,SSO Login Failure,Medium,J. Nguyen,6.59,8,True
TKT-10193,2026-05-31 12:00:00,2026-05-31 12:20:57.536754,Sales,Password Reset,High,T. O'Brien,0.35,2,True
TKT-10194,2026-01-08 08:00:00,2026-01-08 09:16:59.838932,Marketing,SSO Login Failure,Medium,R. Costa,1.28,8,True
TKT-10195,2026-01-26 09:00:00,2026-01-26 10:46:17.565639,Engineering,Group Membership,Medium,A. Palishchuk,1.77,8,True
TKT-10196,2025-07-07 08:00:00,2025-07-07 10:52:09.571437,Sales,MFA Issue,Low,A. Palishchuk,2.87,24,True
TKT-10197,2026-02-11 11:00:00,2026-02-11 12:23:37.244332,Legal,Access Request,Low,T. O'Brien,1.39,24,True
TKT-10198,2025-09-13 11:00:00,2025-09-13 12:18:25.820726,Engineering,Device Enrollment,Medium,A. Palishchuk,1.31,8,True
TKT-10199,2026-06-02 15:00:00,2026-06-02 16:57:33.572569,Engineering,Access Request,High,T. O'Brien,1.96,2,True
TKT-10200,2025-11-24 16:00:00,2025-11-24 19:01:00.090035,Marketing,Access Request,Low,A. Palishchuk,3.02,24,True
TKT-10201,2025-12-10 08:00:00,2025-12-10 09:56:52.060586,Engineering,Account Lockout,Low,T. O'Brien,1.95,24,True
TKT-10202,2025-11-22 12:00:00,2025-11-22 12:29:28.517941,Legal,Password Reset,Low,R. Costa,0.49,24,True
TKT-10203,2025-12-28 15:00:00,2025-12-28 21:22:08.724561,Finance,Permission Change,Medium,A. Palishchuk,6.37,8,True
TKT-10204,2026-03-30 11:00:00,2026-03-30 16:16:35.446457,Legal,Access Request,Low,M. Singh,5.28,24,True
TKT-10205,2025-10-25 09:00:00,2025-10-25 12:56:52.540115,Operations,Device Enrollment,Low,A. Palishchuk,3.95,24,True
TKT-10206,2026-05-16 09:00:00,2026-05-16 11:04:08.429846,Operations,Access Request,Medium,M. Singh,2.07,8,True
TKT-10207,2025-10-10 16:00:00,2025-10-10 16:06:00.000000,Finance,Password Reset,Low,A. Palishchuk,0.1,24,True
TKT-10208,2025-08-15 13:00:00,2025-08-15 13:36:54.492545,Sales,Account Lockout,Medium,J. Nguyen,0.62,8,True
TKT-10209,2025-07-02 08:00:00,2025-07-02 08:06:00.000000,HR,Password Reset,Low,J. Nguyen,0.1,24,True
TKT-10210,2025-10-11 09:00:00,2025-10-11 13:36:28.814020,Legal,Group Membership,Low,A. Palishchuk,4.61,24,True
