event_id,event_type,department,environment,request_date,completed_date,completion_hours,sla_target_hours,met_sla
PRV-5029,Deprovisioning,Finance,Microsoft Entra ID,2025-08-30,2025-08-30 00:44:49.447405,0.75,4,True
PRV-5030,Deprovisioning,Sales,Hybrid (AD + Entra ID),2025-12-04,2025-12-04 00:12:00.000000,0.2,4,True
PRV-5031,Provisioning,Operations,Microsoft Entra ID,2025-10-21,2025-10-21 03:16:27.903044,3.27,8,True
PRV-5032,Provisioning,Finance,Microsoft Entra ID,2025-11-30,2025-11-30 04:46:03.655216,4.77,8,True
PRV-5033,Provisioning,Finance,Microsoft Entra ID,2025-09-30,2025-09-30 05:32:58.304696,5.55,8,True
PRV-5034,Deprovisioning,Finance,Hybrid (AD + Entra ID),2025-08-21,2025-08-21 00:53:53.052545,0.9,4,True
PRV-5035,Provisioning,Sales,Active Directory,2025-10-01,2025-10-01 01:19:54.984595,1.33,8,True
PRV-5036,Provisioning,Marketing,Active Directory,2025-11-30,2025-11-30 02:03:56.859524,2.07,8,True
PRV-5037,Provisioning,Operations,Microsoft Entra ID,2025-11-26,2025-11-26 03:17:05.916258,3.28,8,True
PRV-5038,Deprovisioning,Marketing,Active Directory,2025-12-14,2025-12-14 00:12:00.000000,0.2,4,True
PRV-5039,Deprovisioning,HR,Microsoft Entra ID,2025-08-15,2025-08-15 03:40:50.655804,3.68,4,True
PRV-5040,Deprovisioning,Legal,Hybrid (AD + Entra ID),2026-04-01,2026-04-01 08:32:13.406489,8.54,4,False
PRV-5041,Provisioning,Engineering,Hybrid (AD + Entra ID),2025-11-27,2025-11-27 02:06:45.326267,2.11,8,True
PRV-5042,Provisioning,Marketing,Microsoft Entra ID,2025-09-15,2025-09-15 06:15:08.589516,6.25,8,True
PRV-5043,Provisioning,Engineering,Microsoft Entra ID,2026-05-15,2026-05-15 02:38:16.475833,2.64,8,True
PRV-5044,Provisioning,Engineering,Microsoft Entra ID,2025-12-03,2025-12-03 05:51:47.579031,5.86,8,True
PRV-5045,Provisioning,Engineering,Microsoft Entra ID,2025-08-26,2025-08-26 11:33:46.342077,11.56,8,False
PRV-5046,Provisioning,Marketing,Hybrid (AD + Entra ID),2026-05-26,2026-05-26 00:33:09.908282,0.55,8,True
PRV-5047,Deprovisioning,Finance,Active Directory,2025-07-23,2025-07-23 00:16:20.036487,0.27,4,True
PRV-5048,Provisioning,Finance,Microsoft Entra ID,2025-07-22,2025-07-22 04:20:53.329096,4.35,8,True
PRV-5049,Provisioning,Marketing,Microsoft Entra ID,2025-08-20,2025-08-20 01:27:33.900645,1.46,8,True
PRV-5050,Provisioning,Marketing,Active Directory,2025-10-14,2025-10-14 05:49:47.276993,5.83,8,True
PRV-5051,Deprovisioning,Sales,Hybrid (AD + Entra ID),2026-03-24,2026-03-24 01:16:20.533818,1.27,4,True
PRV-5052,Provisioning,Operations,Microsoft Entra ID,2025-08-21,2025-08-21 03:11:16.970630,3.19,8,True
PRV-5053,Deprovisioning,Legal,Microsoft Entra ID,2025-11-29,2025-11-29 01:49:43.316262,1.83,4,True
PRV-5054,Provisioning,Legal,Hybrid (AD + Entra ID),2026-01-04,2026-01-04 04:31:43.899160,4.53,8,True
PRV-5055,Provisioning,Engineering,Microsoft Entra ID,2026-05-19,2026-05-19 00:30:00.000000,0.5,8,True
PRV-5056,Deprovisioning,Finance,Hybrid (AD + Entra ID),2025-11-15,2025-11-15 00:37:49.862211,0.63,4,True
PRV-5057,Provisioning,Sales,Active Directory,2025-09-20,2025-09-20 01:32:46.673144,1.55,8,True
PRV-5058,Provisioning,Marketing,Active Directory,2025-12-01,2025-12-01 00:38:56.497428,0.65,8,True
PRV-5059,Provisioning,Engineering,Microsoft Entra ID,2026-04-16,2026-04-16 01:46:44.069093,1.78,8,True
PRV-5060,Deprovisioning,Legal,Hybrid (AD + Entra ID),2025-11-26,2025-11-26 04:14:29.329614,4.24,4,False
PRV-5061,Provisioning,Finance,Hybrid (AD + Entra ID),2025-11-06,2025-11-06 00:33:30.637983,0.56,8,True
PRV-5062,Deprovisioning,Legal,Microsoft Entra ID,2026-01-19,2026-01-19 00:12:00.000000,0.2,4,True
PRV-5063,Deprovisioning,Sales,Active Directory,2026-01-21,2026-01-21 00:52:33.161791,0.88,4,True
PRV-5064,Provisioning,Engineering,Active Directory,2026-05-17,2026-05-17 01:03:43.387739,1.06,8,True
PRV-5065,Provisioning,Legal,Microsoft Entra ID,2026-06-02,2026-06-02 00:30:00.000000,0.5,8,True
PRV-5066,Deprovisioning,Marketing,Microsoft Entra ID,2025-11-15,2025-11-15 04:41:01.754159,4.68,4,False
PRV-5067,Provisioning,Sales,Hybrid (AD + Entra ID),2026-04-14,2026-04-14 02:38:00.133389,2.63,8,True
PRV-5068,Provisioning,Finance,Microsoft Entra ID,2025-10-30,2025-10-30 01:55:41.535059,1.93,8,True
PRV-5069,Deprovisioning,Marketing,Microsoft Entra ID,2026-05-04,2026-05-04 00:46:23.645257,0.77,4,True
PRV-5070,Deprovisioning,Engineering,Hybrid (AD + Entra ID),2025-09-11,2025-09-11 00:55:57.018681,0.93,4,True
PRV-5071,Deprovisioning,Sales,Hybrid (AD + Entra ID),2025-10-13,2025-10-13 01:43:56.377294,1.73,4,True
PRV-5072,Deprovisioning,Marketing,Active Directory,2026-01-17,2026-01-17 00:30:05.678646,0.5,4,True
PRV-5073,Provisioning,Operations,Hybrid (AD + Entra ID),2026-03-29,2026-03-29 05:55:06.007210,5.92,8,True
PRV-5074,Deprovisioning,Sales,Hybrid (AD + Entra ID),2025-11-02,2025-11-02 02:43:10.185515,2.72,4,True
PRV-5075,Provisioning,Legal,Microsoft Entra ID,2025-12-08,2025-12-08 07:48:03.868618,7.8,8,True
PRV-5076,Provisioning,HR,Hybrid (AD + Entra ID),2026-01-18,2026-01-18 01:41:24.062619,1.69,8,True
PRV-5077,Deprovisioning,Sales,Active Directory,2026-03-10,2026-03-10 00:48:57.303789,0.82,4,True
PRV-5078,Deprovisioning,Finance,Hybrid (AD + Entra ID),2026-01-17,2026-01-17 02:31:59.579947,2.53,4,True
PRV-5079,Deprovisioning,HR,Hybrid (AD + Entra ID),2025-08-11,2025-08-11 03:24:37.971236,3.41,4,True
PRV-5080,Deprovisioning,Marketing,Microsoft Entra ID,2026-05-21,2026-05-21 01:00:59.456681,1.02,4,True
PRV-5081,Deprovisioning,Finance,Active Directory,2025-08-25,2025-08-25 00:12:00.000000,0.2,4,True
PRV-5082,Provisioning,HR,Active Directory,2025-12-09,2025-12-10 04:33:36.927148,28.56,8,False
PRV-5083,Deprovisioning,Legal,Hybrid (AD + Entra ID),2026-01-04,2026-01-04 00:32:15.389498,0.54,4,True
PRV-5084,Provisioning,Operations,Hybrid (AD + Entra ID),2025-07-14,2025-07-14 02:56:12.618973,2.94,8,True
PRV-5085,Provisioning,HR,Hybrid (AD + Entra ID),2025-08-17,2025-08-17 02:51:51.645099,2.86,8,True
PRV-5086,Provisioning,Sales,Active Directory,2026-05-03,2026-05-03 01:21:16.349001,1.35,8,True
PRV-5087,Provisioning,Sales,Microsoft Entra ID,2025-07-10,2025-07-10 00:30:00.000000,0.5,8,True
PRV-5088,Deprovisioning,Operations,Microsoft Entra ID,2026-03-28,2026-03-28 01:08:20.798219,1.14,4,True
PRV-5089,Deprovisioning,Finance,Microsoft Entra ID,2025-08-03,2025-08-03 04:54:20.534657,4.91,4,False
PRV-5090,Deprovisioning,Operations,Microsoft Entra ID,2025-12-29,2025-12-29 00:24:01.602955,0.4,4,True
PRV-5091,Provisioning,Legal,Microsoft Entra ID,2026-02-26,2026-02-26 01:10:32.405542,1.18,8,True
PRV-5092,Provisioning,Engineering,Hybrid (AD + Entra ID),2026-06-19,2026-06-19 00:30:00.000000,0.5,8,True
PRV-5093,Provisioning,Legal,Hybrid (AD + Entra ID),2026-05-13,2026-05-13 02:16:16.876338,2.27,8,True
PRV-5094,Deprovisioning,Engineering,Active Directory,2025-07-08,2025-07-08 01:13:05.033002,1.22,4,True
PRV-5095,Provisioning,Sales,Active Directory,2025-07-20,2025-07-20 06:35:29.003751,6.59,8,True
PRV-5096,Provisioning,Engineering,Hybrid (AD + Entra ID),2025-08-23,2025-08-23 10:58:47.453685,10.98,8,False
PRV-5097,Provisioning,Marketing,Hybrid (AD + Entra ID),2026-04-16,2026-04-16 14:47:41.409855,14.79,8,False
PRV-5098,Provisioning,Sales,Active Directory,2026-06-15,2026-06-15 00:52:43.720466,0.88,8,True
PRV-5099,Deprovisioning,Operations,Microsoft Entra ID,2025-09-10,2025-09-10 08:02:40.956247,8.04,4,False
PRV-5100,Provisioning,Sales,Microsoft Entra ID,2026-05-26,2026-05-26 09:22:42.121233,9.38,8,False
PRV-5101,Provisioning,HR,Microsoft Entra ID,2025-11-16,2025-11-16 00:41:40.319106,0.69,8,True
PRV-5102,Deprovisioning,Sales,Microsoft Entra ID,2025-12-25,2025-12-25 00:23:14.790391,0.39,4,True
PRV-5103,Provisioning,HR,Microsoft Entra ID,2025-12-06,2025-12-06 02:09:12.129214,2.15,8,True
PRV-5104,Provisioning,Legal,Hybrid (AD + Entra ID),2026-01-12,2026-01-12 01:01:43.161771,1.03,8,True
PRV-5105,Deprovisioning,Operations,Hybrid (AD + Entra ID),2026-02-26,2026-02-26 00:20:25.207573,0.34,4,True
PRV-5106,Provisioning,Legal,Active Directory,2025-10-12,2025-10-12 03:58:04.066660,3.97,8,True
PRV-5107,Deprovisioning,Sales,Microsoft Entra ID,2025-07-19,2025-07-19 05:03:18.561670,5.06,4,False
PRV-5108,Provisioning,Sales,Microsoft Entra ID,2025-07-13,2025-07-13 01:30:47.037032,1.51,8,True
PRV-5109,Deprovisioning,Operations,Microsoft Entra ID,2025-12-16,2025-12-16 00:15:34.790339,0.26,4,True
PRV-5110,Provisioning,Sales,Active Directory,2026-05-11,2026-05-11 02:16:53.184879,2.28,8,True
PRV-5111,Provisioning,Finance,Active Directory,2025-12-03,2025-12-03 00:30:00.000000,0.5,8,True
PRV-5112,Provisioning,Legal,Hybrid (AD + Entra ID),2026-06-20,2026-06-20 07:42:32.695681,7.71,8,True
PRV-5113,Provisioning,Engineering,Microsoft Entra ID,2025-08-14,2025-08-14 07:22:48.806380,7.38,8,True
PRV-5114,Provisioning,Legal,Hybrid (AD + Entra ID),2026-04-11,2026-04-11 10:38:14.450863,10.64,8,False
PRV-5115,Provisioning,Sales,Hybrid (AD + Entra ID),2025-07-31,2025-07-31 06:34:27.152910,6.57,8,True
PRV-5116,Provisioning,Engineering,Hybrid (AD + Entra ID),2026-04-07,2026-04-07 01:02:38.347717,1.04,8,True
PRV-5117,Deprovisioning,Legal,Microsoft Entra ID,2025-07-03,2025-07-03 00:54:48.633956,0.91,4,True
PRV-5118,Provisioning,Marketing,Hybrid (AD + Entra ID),2025-11-19,2025-11-19 07:37:42.203604,7.63,8,True
PRV-5119,Provisioning,Operations,Microsoft Entra ID,2025-11-16,2025-11-16 10:28:09.880711,10.47,8,False
PRV-5120,Provisioning,HR,Hybrid (AD + Entra ID),2025-11-13,2025-11-13 04:27:46.634965,4.46,8,True
PRV-5121,Provisioning,Operations,Hybrid (AD + Entra ID),2025-08-17,2025-08-17 00:30:00.000000,0.5,8,True
PRV-5122,Deprovisioning,Finance,Microsoft Entra ID,2025-11-16,2025-11-16 00:12:00.000000,0.2,4,True
PRV-5123,Provisioning,Marketing,Hybrid (AD + Entra ID),2026-04-30,2026-04-30 04:03:57.565626,4.07,8,True
PRV-5124,Provisioning,Engineering,Microsoft Entra ID,2026-05-10,2026-05-10 00:33:04.772304,0.55,8,True
PRV-5125,Provisioning,Sales,Hybrid (AD + Entra ID),2025-07-28,2025-07-28 05:48:53.776193,5.81,8,True
PRV-5126,Provisioning,Operations,Active Directory,2026-01-17,2026-01-17 08:04:27.131493,8.07,8,False
PRV-5127,Provisioning,Marketing,Active Directory,2025-08-02,2025-08-02 05:45:49.539846,5.76,8,True
PRV-5128,Deprovisioning,Sales,Active Directory,2026-04-29,2026-04-29 00:12:00.000000,0.2,4,True
PRV-5129,Deprovisioning,HR,Hybrid (AD + Entra ID),2026-03-01,2026-03-01 00:12:00.000000,0.2,4,True
PRV-5130,Deprovisioning,Legal,Microsoft Entra ID,2025-08-28,2025-08-28 03:23:35.170513,3.39,4,True
PRV-5131,Provisioning,Engineering,Hybrid (AD + Entra ID),2026-03-03,2026-03-03 02:02:29.159778,2.04,8,True
PRV-5132,Deprovisioning,Marketing,Hybrid (AD + Entra ID),2025-09-30,2025-09-30 00:24:20.227151,0.41,4,True
PRV-5133,Deprovisioning,Sales,Hybrid (AD + Entra ID),2026-01-15,2026-01-15 00:21:27.558404,0.36,4,True
PRV-5134,Provisioning,Engineering,Active Directory,2026-03-06,2026-03-06 03:09:50.594281,3.16,8,True
PRV-5135,Provisioning,Finance,Hybrid (AD + Entra ID),2025-08-21,2025-08-21 05:54:01.372289,5.9,8,True
PRV-5136,Provisioning,Marketing,Microsoft Entra ID,2025-08-02,2025-08-02 10:55:21.128316,10.92,8,False
PRV-5137,Provisioning,Finance,Hybrid (AD + Entra ID),2025-11-10,2025-11-10 02:14:40.571309,2.24,8,True
PRV-5138,Provisioning,Finance,Active Directory,2025-10-24,2025-10-24 06:28:55.402628,6.48,8,True
PRV-5139,Provisioning,Legal,Hybrid (AD + Entra ID),2026-03-27,2026-03-27 09:03:51.484080,9.06,8,False
PRV-5140,Deprovisioning,Finance,Active Directory,2025-08-18,2025-08-18 05:09:30.355259,5.16,4,False
PRV-5141,Provisioning,Engineering,Microsoft Entra ID,2025-10-21,2025-10-21 01:50:23.693645,1.84,8,True
PRV-5142,Provisioning,HR,Hybrid (AD + Entra ID),2025-10-19,2025-10-19 00:30:00.000000,0.5,8,True
PRV-5143,Provisioning,Legal,Hybrid (AD + Entra ID),2026-05-25,2026-05-25 06:33:27.531215,6.56,8,True
PRV-5144,Deprovisioning,Finance,Hybrid (AD + Entra ID),2026-03-08,2026-03-08 06:01:18.515990,6.02,4,False
PRV-5145,Provisioning,Marketing,Hybrid (AD + Entra ID),2026-05-16,2026-05-16 05:30:28.015150,5.51,8,True
PRV-5146,Provisioning,Legal,Microsoft Entra ID,2025-08-20,2025-08-20 06:17:37.064638,6.29,8,True
PRV-5147,Provisioning,HR,Active Directory,2025-10-18,2025-10-18 03:50:15.639890,3.84,8,True
PRV-5148,Deprovisioning,Finance,Microsoft Entra ID,2026-06-21,2026-06-21 02:38:38.621808,2.64,4,True
PRV-5149,Deprovisioning,HR,Active Directory,2026-01-06,2026-01-06 00:55:24.671639,0.92,4,True
PRV-5150,Deprovisioning,Finance,Microsoft Entra ID,2025-07-25,2025-07-25 04:35:49.342827,4.6,4,False
PRV-5151,Provisioning,Finance,Hybrid (AD + Entra ID),2026-05-02,2026-05-02 10:47:28.668102,10.79,8,False
PRV-5152,Deprovisioning,Finance,Microsoft Entra ID,2025-07-14,2025-07-14 00:41:20.204793,0.69,4,True
PRV-5153,Deprovisioning,Legal,Microsoft Entra ID,2025-10-13,2025-10-13 07:58:20.044131,7.97,4,False
PRV-5154,Provisioning,Marketing,Microsoft Entra ID,2025-11-21,2025-11-21 06:29:28.436890,6.49,8,True
PRV-5155,Provisioning,Sales,Microsoft Entra ID,2026-06-10,2026-06-10 11:28:50.295707,11.48,8,False
PRV-5156,Provisioning,Legal,Microsoft Entra ID,2026-02-06,2026-02-06 00:33:42.177258,0.56,8,True
PRV-5157,Provisioning,Legal,Microsoft Entra ID,2026-04-09,2026-04-09 10:20:03.075371,10.33,8,False
PRV-5158,Provisioning,Operations,Microsoft Entra ID,2025-09-06,2025-09-06 14:26:31.178311,14.44,8,False
PRV-5159,Provisioning,Finance,Microsoft Entra ID,2025-09-01,2025-09-01 04:03:28.334890,4.06,8,True
PRV-5160,Provisioning,Legal,Microsoft Entra ID,2026-01-08,2026-01-08 05:47:40.177668,5.79,8,True
PRV-5161,Provisioning,Engineering,Hybrid (AD + Entra ID),2025-11-29,2025-11-29 03:34:03.488358,3.57,8,True
PRV-5162,Provisioning,Finance,Hybrid (AD + Entra ID),2026-04-23,2026-04-23 20:52:52.038681,20.88,8,False
PRV-5163,Deprovisioning,Sales,Microsoft Entra ID,2025-07-17,2025-07-17 00:12:00.000000,0.2,4,True
PRV-5164,Deprovisioning,Legal,Hybrid (AD + Entra ID),2026-01-26,2026-01-26 03:11:09.399133,3.19,4,True
PRV-5165,Provisioning,Legal,Hybrid (AD + Entra ID),2025-08-22,2025-08-23 01:21:22.360355,25.36,8,False
PRV-5166,Provisioning,Finance,Active Directory,2025-07-31,2025-07-31 02:39:44.899294,2.66,8,True
PRV-5167,Deprovisioning,Operations,Hybrid (AD + Entra ID),2026-04-21,2026-04-21 03:51:43.003663,3.86,4,True
PRV-5168,Provisioning,HR,Hybrid (AD + Entra ID),2026-01-29,2026-01-29 02:54:42.952585,2.91,8,True
PRV-5169,Provisioning,Legal,Hybrid (AD + Entra ID),2026-06-27,2026-06-27 04:49:45.831200,4.83,8,True
PRV-5170,Provisioning,Engineering,Microsoft Entra ID,2026-04-26,2026-04-26 06:08:06.333370,6.14,8,True
PRV-5171,Provisioning,Finance,Microsoft Entra ID,2025-07-16,2025-07-16 00:30:00.000000,0.5,8,True
PRV-5172,Deprovisioning,Marketing,Microsoft Entra ID,2026-05-23,2026-05-23 07:16:38.468078,7.28,4,False
PRV-5173,Deprovisioning,Finance,Active Directory,2025-09-24,2025-09-24 04:01:27.879209,4.02,4,False
PRV-5174,Deprovisioning,Engineering,Active Directory,2026-03-26,2026-03-26 04:27:53.987443,4.46,4,False
PRV-5175,Deprovisioning,Finance,Hybrid (AD + Entra ID),2025-12-27,2025-12-27 00:12:00.000000,0.2,4,True
PRV-5176,Deprovisioning,Operations,Hybrid (AD + Entra ID),2026-03-19,2026-03-19 02:06:48.863206,2.11,4,True
PRV-5177,Deprovisioning,Operations,Hybrid (AD + Entra ID),2026-02-10,2026-02-10 00:49:13.391115,0.82,4,True
PRV-5178,Provisioning,Marketing,Microsoft Entra ID,2025-09-16,2025-09-16 02:50:29.027808,2.84,8,True
PRV-5179,Provisioning,Marketing,Microsoft Entra ID,2026-06-22,2026-06-22 05:20:36.136146,5.34,8,True
PRV-5180,Deprovisioning,Operations,Hybrid (AD + Entra ID),2025-09-11,2025-09-11 02:49:57.750108,2.83,4,True
PRV-5181,Provisioning,Operations,Microsoft Entra ID,2026-06-13,2026-06-13 01:17:29.253919,1.29,8,True
PRV-5182,Deprovisioning,Sales,Active Directory,2026-04-01,2026-04-01 04:56:48.152185,4.95,4,False
PRV-5183,Provisioning,Sales,Active Directory,2025-12-03,2025-12-03 04:13:44.892855,4.23,8,True
PRV-5184,Provisioning,Operations,Hybrid (AD + Entra ID),2026-03-30,2026-03-30 15:56:55.044555,15.95,8,False
PRV-5185,Deprovisioning,Engineering,Microsoft Entra ID,2026-05-26,2026-05-26 01:57:00.937651,1.95,4,True
PRV-5186,Provisioning,Engineering,Active Directory,2026-01-14,2026-01-14 03:42:58.318831,3.72,8,True
PRV-5187,Deprovisioning,Legal,Hybrid (AD + Entra ID),2026-03-14,2026-03-14 00:34:56.115466,0.58,4,True
PRV-5188,Provisioning,Marketing,Hybrid (AD + Entra ID),2025-12-12,2025-12-12 05:48:44.722993,5.81,8,True
PRV-5189,Provisioning,Marketing,Hybrid (AD + Entra ID),2026-06-24,2026-06-24 02:55:21.224780,2.92,8,True
PRV-5190,Provisioning,Legal,Hybrid (AD + Entra ID),2026-03-18,2026-03-18 01:09:55.824516,1.17,8,True
PRV-5191,Provisioning,Finance,Hybrid (AD + Entra ID),2026-02-16,2026-02-16 02:26:15.195732,2.44,8,True
PRV-5192,Provisioning,HR,Active Directory,2025-07-06,2025-07-06 00:38:17.203423,0.64,8,True
PRV-5193,Provisioning,Engineering,Microsoft Entra ID,2026-03-30,2026-03-30 11:06:12.498323,11.1,8,False
PRV-5194,Deprovisioning,Operations,Hybrid (AD + Entra ID),2025-07-13,2025-07-13 00:25:23.479221,0.42,4,True
PRV-5195,Provisioning,HR,Microsoft Entra ID,2026-02-06,2026-02-06 07:50:42.758388,7.85,8,True
PRV-5196,Provisioning,Operations,Hybrid (AD + Entra ID),2025-08-12,2025-08-12 00:30:00.000000,0.5,8,True
PRV-5197,Provisioning,HR,Active Directory,2026-01-03,2026-01-03 01:39:11.908410,1.65,8,True
PRV-5198,Deprovisioning,Legal,Hybrid (AD + Entra ID),2026-03-27,2026-03-27 03:15:11.716906,3.25,4,True
PRV-5199,Deprovisioning,Engineering,Hybrid (AD + Entra ID),2026-01-15,2026-01-15 02:44:52.856622,2.75,4,True
PRV-5200,Provisioning,Sales,Active Directory,2025-12-14,2025-12-14 07:56:39.877355,7.94,8,True
PRV-5201,Provisioning,Sales,Hybrid (AD + Entra ID),2026-03-06,2026-03-06 09:49:46.192433,9.83,8,False
PRV-5202,Deprovisioning,HR,Hybrid (AD + Entra ID),2026-01-03,2026-01-03 02:24:40.141717,2.41,4,True
PRV-5203,Deprovisioning,Engineering,Microsoft Entra ID,2025-07-21,2025-07-21 01:45:48.786775,1.76,4,True
PRV-5204,Deprovisioning,Legal,Active Directory,2026-01-14,2026-01-14 00:12:00.000000,0.2,4,True
PRV-5205,Provisioning,Operations,Active Directory,2025-11-05,2025-11-05 01:45:14.362414,1.75,8,True
PRV-5206,Provisioning,Sales,Hybrid (AD + Entra ID),2025-09-02,2025-09-02 00:30:00.000000,0.5,8,True
PRV-5207,Provisioning,Finance,Hybrid (AD + Entra ID),2025-08-29,2025-08-29 05:46:08.298735,5.77,8,True
PRV-5208,Deprovisioning,Operations,Active Directory,2025-08-28,2025-08-28 06:23:09.594016,6.39,4,False
PRV-5209,Provisioning,Legal,Microsoft Entra ID,2025-08-17,2025-08-17 01:20:00.773765,1.33,8,True
PRV-5210,Provisioning,Finance,Active Directory,2026-02-01,2026-02-01 00:30:00.000000,0.5,8,True
PRV-5211,Deprovisioning,Engineering,Microsoft Entra ID,2026-02-19,2026-02-19 06:47:02.847340,6.78,4,False
PRV-5212,Provisioning,Finance,Microsoft Entra ID,2025-07-02,2025-07-02 06:28:12.983586,6.47,8,True
PRV-5213,Provisioning,HR,Hybrid (AD + Entra ID),2026-03-30,2026-03-30 04:26:03.429450,4.43,8,True
PRV-5214,Deprovisioning,Finance,Active Directory,2025-08-26,2025-08-26 01:57:42.790290,1.96,4,True
PRV-5215,Deprovisioning,Engineering,Microsoft Entra ID,2026-03-28,2026-03-28 04:25:05.041993,4.42,4,False
PRV-5216,Provisioning,Marketing,Active Directory,2025-11-02,2025-11-02 14:23:33.845308,14.39,8,False
PRV-5217,Provisioning,Finance,Hybrid (AD + Entra ID),2026-01-17,2026-01-17 01:07:46.020958,1.13,8,True
PRV-5218,Provisioning,Engineering,Hybrid (AD + Entra ID),2026-03-28,2026-03-28 00:30:00.000000,0.5,8,True
PRV-5219,Deprovisioning,Marketing,Microsoft Entra ID,2025-07-31,2025-07-31 00:37:44.309191,0.63,4,True
PRV-5220,Deprovisioning,Operations,Microsoft Entra ID,2026-02-22,2026-02-22 00:12:00.000000,0.2,4,True
PRV-5221,Provisioning,HR,Hybrid (AD + Entra ID),2025-11-12,2025-11-12 10:12:12.756969,10.2,8,False
PRV-5222,Provisioning,Marketing,Hybrid (AD + Entra ID),2025-10-20,2025-10-20 02:50:45.280637,2.85,8,True
PRV-5223,Provisioning,Finance,Hybrid (AD + Entra ID),2026-05-27,2026-05-27 01:14:47.997588,1.25,8,True
PRV-5224,Deprovisioning,Marketing,Active Directory,2025-10-23,2025-10-23 02:26:25.454965,2.44,4,True
PRV-5225,Provisioning,Finance,Hybrid (AD + Entra ID),2026-06-01,2026-06-01 16:46:34.160095,16.78,8,False
PRV-5226,Deprovisioning,Legal,Hybrid (AD + Entra ID),2025-12-20,2025-12-20 03:47:02.196372,3.78,4,True
PRV-5227,Deprovisioning,Sales,Microsoft Entra ID,2026-06-21,2026-06-21 01:28:59.923693,1.48,4,True
PRV-5228,Provisioning,Operations,Active Directory,2025-11-14,2025-11-14 03:27:42.203750,3.46,8,True
PRV-5229,Deprovisioning,Engineering,Microsoft Entra ID,2025-10-14,2025-10-14 03:00:33.765598,3.01,4,True
